Tipo_Dado,Tamanho_Array,Algoritmo,Tempo_ms,Tempo_s,Comparacoes,Trocas,Memoria_Auxiliar_Bytes
Parcialmente Ordenado,10000,Quick Sort,8.962000,0.008962,1471195,825363,0
Parcialmente Ordenado,25000,Bubble Sort,1212.588000,1.212588,311589030,4012174,0
Parcialmente Ordenado,25000,Insertion Sort,21.078000,0.021078,4037173,24898,0
Parcialmente Ordenado,25000,Selection Sort,1122.232000,1.122232,312487500,250,0
Parcialmente Ordenado,25000,Merge Sort,10.665000,0.010665,286082,367232,100000
Parcialmente Ordenado,25000,Quick Sort,33.913000,0.033913,4642829,3495575,0
Ordenado,100,Bubble Sort,0.000000,0.000000,99,0,0
Ordenado,100,Insertion Sort,0.000000,0.000000,99,0,0
Ordenado,100,Selection Sort,0.000000,0.000000,4950,0,0
Ordenado,100,Merge Sort,0.000000,0.000000,356,672,400
Ordenado,100,Quick Sort,0.000000,0.000000,4950,5049,0
Ordenado,250,Bubble Sort,0.000000,0.000000,249,0,0
Ordenado,250,Insertion Sort,0.000000,0.000000,249,0,0
Ordenado,250,Selection Sort,0.000000,0.000000,31125,0,0
Ordenado,250,Merge Sort,0.000000,0.000000,1011,1994,1000
Ordenado,250,Quick Sort,0.000000,0.000000,31125,31374,0
Ordenado,500,Bubble Sort,0.000000,0.000000,499,0,0
Ordenado,500,Insertion Sort,0.000000,0.000000,499,0,0
Ordenado,500,Selection Sort,1.000000,0.001000,124750,0,0
Ordenado,500,Merge Sort,1.238000,0.001238,2272,4488,2000
Ordenado,500,Quick Sort,2.008000,0.002008,124750,125249,0
Ordenado,1000,Bubble Sort,0.000000,0.000000,999,0,0
Ordenado,1000,Insertion Sort,0.000000,0.000000,999,0,0
Ordenado,1000,Selection Sort,1.503000,0.001503,499500,0,0
Ordenado,1000,Merge Sort,1.023000,0.001023,5044,9976,4000
Ordenado,1000,Quick Sort,4.014000,0.004014,499500,500499,0
Ordenado,2500,Bubble Sort,0.000000,0.000000,2499,0,0
Ordenado,2500,Insertion Sort,0.000000,0.000000,2499,0,0
Ordenado,2500,Selection Sort,11.009000,0.011009,3123750,0,0
Ordenado,2500,Merge Sort,1.031000,0.001031,14752,28404,10000
Ordenado,2500,Quick Sort,26.908000,0.026908,3123750,3126249,0
Ordenado,5000,Bubble Sort,0.000000,0.000000,4999,0,0
Ordenado,5000,Insertion Sort,0.000000,0.000000,4999,0,0
